,laptop_ID,Company,TypeName,Inches,Ram,Memory,OpSys,Weight,Price_euros,Memory Type,Screen Width,Screen Height,Screen Type,CPU Clock Speed,GPU Type,CPU Type
30,31,Chuwi,Notebook,15.6,4,64.0,Windows 10,1.89,244.99,Flash,1920,1080,Full HD,1.44,Intel,Intel
31,32,Asus,Notebook,14.0,2,32.0,Windows 10,1.65,199.0,Flash,1366,768,Plain,1.5,AMD,AMD
32,33,HP,Notebook,17.3,4,500.0,Windows 10,2.71,439.0,HDD,1920,1080,Full HD,2.5,AMD,AMD
33,34,Dell,Ultrabook,13.3,16,512.0,Windows 10,1.2,1869.0,SSD,3200,1800,Touchscreen,1.8,Intel,Intel
34,35,Apple,Ultrabook,13.3,8,256.0,Mac OS X,1.35,998.0,Flash,1440,900,Plain,1.6,Intel,Intel
35,36,Lenovo,Notebook,14.0,4,64.0,Windows 10,1.44,249.0,Flash,1366,768,Plain,1.1,Intel,Intel
36,37,Acer,Notebook,15.6,4,1024.0,Linux,2.1,367.0,HDD,1366,768,Plain,2.7,Intel,Intel
37,38,Dell,Notebook,17.3,8,128.0,Windows 10,2.8,979.0,SSD,1920,1080,IPS Panel,1.6,AMD,Intel
38,39,HP,Notebook,15.6,4,1024.0,Windows 10,1.86,488.69,HDD,1366,768,Plain,2.5,Intel,Intel
39,40,HP,Notebook,15.6,8,256.0,Windows 10,2.1,879.0,SSD,1920,1080,Full HD,1.6,Nvidia,Intel
40,41,Asus,Notebook,15.6,4,1024.0,Linux,2.0,389.0,HDD,1920,1080,Full HD,2.0,Intel,Intel
41,42,Dell,Gaming,15.6,16,256.0,Windows 10,2.65,1499.0,SSD,1920,1080,IPS Panel,2.8,Nvidia,Intel
42,43,Asus,Notebook,15.6,8,1024.0,Linux,2.3,522.99,HDD,1366,768,Plain,2.5,Nvidia,Intel
43,44,Acer,Notebook,15.6,4,256.0,Windows 10,2.2,682.0,SSD,1920,1080,IPS Panel,1.6,Intel,Intel
44,45,Dell,2 in 1 Convertible,17.3,12,1024.0,Windows 10,2.77,999.0,HDD,1920,1080,Full HD,1.6,Nvidia,Intel
45,46,Apple,Ultrabook,13.3,8,256.0,macOS,1.37,1419.0,SSD,2560,1600,IPS Panel,2.0,Intel,Intel
46,47,Lenovo,Notebook,15.6,4,128.0,No OS,2.2,369.0,SSD,1366,768,Plain,2.0,Intel,Intel
47,48,Asus,Gaming,17.3,8,256.0,Windows 10,3.2,1299.0,SSD,1920,1080,Full HD,3.0,AMD,AMD
48,49,Dell,Notebook,15.6,4,256.0,Windows 10,2.3,639.0,SSD,1920,1080,Full HD,2.5,AMD,Intel
49,50,Asus,Notebook,17.3,4,1024.0,Windows 10,2.8,466.0,HDD,1366,768,Plain,1.1,Nvidia,Intel
50,51,Lenovo,2 in 1 Convertible,10.1,4,64.0,Android,0.69,319.0,Flash,1920,1200,IPS Panel,1.44,Intel,Intel
51,52,Acer,Notebook,15.6,8,256.0,Windows 10,2.2,841.0,SSD,1920,1080,IPS Panel,1.8,Nvidia,Intel
52,53,HP,Notebook,15.6,4,256.0,Windows 10,1.86,398.49,SSD,1920,1080,Full HD,2.5,AMD,AMD
53,54,HP,Notebook,13.3,8,512.0,Windows 10,1.49,1103.0,SSD,1920,1080,Full HD,1.8,Intel,Intel
54,55,Acer,Notebook,15.6,4,1024.0,Windows 10,2.4,384.0,HDD,1366,768,Plain,2.4,Intel,Intel
55,56,Dell,Notebook,15.6,8,256.0,Windows 10,2.13,767.8,SSD,1920,1080,Full HD,1.8,AMD,Intel
56,57,HP,Notebook,15.6,4,128.0,Windows 10,1.91,439.0,SSD,1920,1080,Full HD,2.0,Intel,Intel
57,58,Asus,Notebook,15.6,4,256.0,Windows 10,2.0,586.19,SSD,1366,768,Plain,2.5,Intel,Intel
58,59,MSI,Gaming,17.3,16,256.0,Windows 10,2.43,2449.0,SSD,1920,1080,Full HD,2.8,Nvidia,Intel
59,60,Asus,Notebook,15.6,4,256.0,Linux,2.0,415.0,SSD,1920,1080,Full HD,2.0,Intel,Intel
60,61,Dell,Notebook,17.3,16,256.0,Windows 10,2.8,1299.0,SSD,1920,1080,Full HD,1.8,AMD,Intel
61,62,Dell,Ultrabook,14.0,8,256.0,Windows 10,1.7,879.0,SSD,1920,1080,Full HD,1.6,Intel,Intel
62,63,Lenovo,Notebook,14.0,8,256.0,No OS,1.7,599.0,SSD,1920,1080,IPS Panel,2.7,Intel,Intel
63,64,Asus,Notebook,14.0,8,256.0,Windows 10,1.4,941.0,SSD,1920,1080,Full HD,1.6,Intel,Intel
64,66,HP,Notebook,15.6,8,256.0,Windows 10,1.86,690.0,SSD,1920,1080,Full HD,2.5,Intel,Intel
65,67,Asus,Ultrabook,15.6,16,512.0,Windows 10,1.8,1983.0,SSD,1920,1080,Full HD,2.8,Nvidia,Intel
66,68,HP,Notebook,15.6,4,500.0,Windows 10,1.86,438.69,HDD,1366,768,Plain,2.0,AMD,Intel
67,69,HP,Notebook,14.0,4,32.0,Windows 10,1.44,229.0,SSD,1366,768,Plain,1.6,Intel,Intel
68,70,Lenovo,Notebook,15.6,4,1024.0,Windows 10,1.9,549.0,HDD,1920,1080,Full HD,2.5,Intel,Intel
69,71,Asus,Gaming,17.3,12,1024.0,Linux,3.0,949.0,HDD,1920,1080,Full HD,2.8,Nvidia,Intel
70,72,Microsoft,Ultrabook,13.5,4,128.0,Windows 10 S,1.252,1089.0,SSD,2256,1504,Touchscreen,2.5,Intel,Intel
71,73,Dell,Ultrabook,13.3,8,256.0,Windows 10,1.4,955.0,SSD,1920,1080,IPS Panel,1.8,AMD,Intel
72,74,Dell,Notebook,15.6,8,256.0,Windows 10,2.2,870.0,SSD,1920,1080,Full HD,1.8,AMD,Intel
73,75,MSI,Gaming,17.3,8,128.0,Windows 10,2.7,1095.0,SSD,1920,1080,Full HD,2.5,Nvidia,Intel
74,76,Acer,Notebook,14.0,8,1024.0,Windows 10,2.1,389.0,HDD,1366,768,Plain,2.0,Intel,Intel
75,77,Asus,Gaming,15.6,8,1024.0,Windows 10,2.2,949.0,HDD,1920,1080,Full HD,2.8,Nvidia,Intel
76,78,Lenovo,Notebook,15.6,8,2048.0,No OS,2.2,519.0,HDD,1920,1080,Full HD,2.5,Intel,Intel
77,79,Dell,Notebook,15.6,8,128.0,Windows 10,2.02,855.0,SSD,1920,1080,Full HD,1.8,Intel,Intel
78,80,Acer,Notebook,15.6,4,1024.0,Windows 10,2.2,530.0,HDD,1920,1080,Full HD,2.7,Nvidia,Intel
79,81,HP,Notebook,17.3,8,128.0,Windows 10,2.5,977.0,SSD,1920,1080,Full HD,1.6,Nvidia,Intel
80,82,Dell,Ultrabook,15.6,8,256.0,Windows 10,1.88,1096.16,SSD,1920,1080,IPS Panel,1.6,Intel,Intel
81,83,Apple,Ultrabook,12.0,8,512.0,macOS,0.92,1510.0,SSD,2304,1440,IPS Panel,1.3,Intel,Intel
82,84,HP,Notebook,14.0,8,256.0,Windows 10,1.63,860.0,SSD,1920,1080,Full HD,1.6,Intel,Intel
83,85,Lenovo,Notebook,15.6,4,128.0,Windows 10,2.2,399.0,SSD,1920,1080,Full HD,2.5,AMD,AMD
84,86,Acer,Notebook,15.6,4,1024.0,Windows 10,2.1,395.0,HDD,1366,768,Plain,3.0,AMD,AMD
85,87,Dell,Gaming,15.6,16,128.0,Windows 10,2.65,1349.0,SSD,1920,1080,IPS Panel,2.8,Nvidia,Intel
86,88,HP,Ultrabook,15.6,8,256.0,Windows 10,1.83,699.0,SSD,1920,1080,IPS Panel,1.8,Nvidia,Intel
87,89,HP,Notebook,15.6,8,256.0,Windows 10,1.96,598.99,SSD,1920,1080,Full HD,2.5,Intel,Intel
88,90,Asus,Gaming,15.6,16,128.0,Windows 10,2.2,1449.0,SSD,1920,1080,IPS Panel,2.8,Nvidia,Intel
89,91,Dell,Ultrabook,13.3,8,256.0,Windows 10,1.21,1649.0,SSD,1920,1080,IPS Panel,1.8,Intel,Intel
90,92,Asus,Gaming,15.6,8,1024.0,Windows 10,2.45,699.0,HDD,1920,1080,Full HD,3.0,AMD,AMD
91,93,Acer,Notebook,15.6,8,1024.0,Windows 10,2.2,689.0,HDD,1920,1080,Full HD,1.8,Nvidia,Intel
92,94,HP,Notebook,13.3,16,512.0,Windows 10,1.49,1197.0,SSD,1920,1080,Full HD,1.8,Intel,Intel
93,95,Dell,Gaming,15.6,8,256.0,Windows 10,2.65,1195.0,SSD,1920,1080,Full HD,2.5,Nvidia,Intel
94,96,Asus,Ultrabook,14.0,8,256.0,Windows 10,1.25,1049.0,SSD,1920,1080,Full HD,2.7,Intel,Intel
95,97,Acer,2 in 1 Convertible,13.3,8,256.0,Windows 10,1.5,847.0,SSD,1920,1080,IPS Panel,1.6,Intel,Intel
96,98,Dell,Notebook,15.6,8,1024.0,Linux,2.2,599.9,HDD,1920,1080,Full HD,2.7,AMD,Intel
97,99,Dell,Notebook,15.6,4,256.0,Linux,2.2,485.0,SSD,1920,1080,Full HD,2.0,AMD,Intel
98,100,Asus,Notebook,15.6,6,256.0,Windows 10,2.0,577.0,SSD,1920,1080,Full HD,2.4,Nvidia,Intel
99,102,HP,Gaming,15.6,12,128.0,Windows 10,2.62,1249.0,SSD,1920,1080,IPS Panel,2.8,Nvidia,Intel
100,103,HP,Notebook,15.6,8,256.0,Windows 10,1.91,719.0,SSD,1920,1080,Full HD,2.7,AMD,Intel
101,104,HP,Notebook,15.6,4,500.0,Windows 10,2.1,349.0,HDD,1920,1080,Full HD,1.5,AMD,AMD
102,105,Dell,Notebook,15.6,8,1024.0,Linux,2.2,647.0,HDD,1920,1080,Full HD,1.6,AMD,Intel
103,106,HP,Ultrabook,13.3,8,256.0,Windows 10,1.38,1119.0,SSD,1920,1080,IPS Panel,2.7,Nvidia,Intel
104,107,Microsoft,Ultrabook,13.5,8,256.0,Windows 10 S,1.252,1340.0,SSD,2256,1504,Touchscreen,2.5,Intel,Intel
105,108,HP,Notebook,14.0,6,256.0,Windows 10,1.58,659.0,SSD,1920,1080,IPS Panel,2.5,Nvidia,Intel
106,109,Lenovo,Notebook,15.6,4,1024.0,Windows 10,1.85,414.9,HDD,1920,1080,Full HD,2.0,Intel,Intel
107,110,Asus,Ultrabook,14.0,8,256.0,Windows 10,1.3,1193.0,SSD,1920,1080,IPS Panel,2.7,Nvidia,Intel
108,111,MSI,Gaming,15.6,16,256.0,Windows 10,2.2,1299.0,SSD,1920,1080,Full HD,2.8,Nvidia,Intel
109,112,Lenovo,Notebook,14.0,8,256.0,Windows 10,1.58,1480.0,SSD,1920,1080,IPS Panel,2.7,Intel,Intel
110,113,Asus,Ultrabook,15.6,16,256.0,Windows 10,1.5,1262.0,SSD,1920,1080,Full HD,1.8,Nvidia,Intel
111,114,Dell,Ultrabook,13.3,8,256.0,Windows 10,1.23,1379.0,SSD,3200,1800,Quad HD+,2.4,Intel,Intel
112,115,Lenovo,2 in 1 Convertible,13.3,8,256.0,Windows 10,1.37,1399.0,SSD,1920,1080,IPS Panel,2.5,Intel,Intel
113,116,HP,Notebook,14.0,4,500.0,Windows 10,1.63,722.0,HDD,1366,768,IPS Panel,1.6,Intel,Intel
114,117,Dell,Ultrabook,13.3,8,256.0,Windows 10,1.21,1629.0,SSD,1920,1080,IPS Panel,1.6,Intel,Intel
115,118,HP,2 in 1 Convertible,13.3,8,256.0,Windows 10,1.26,1398.99,SSD,1920,1080,IPS Panel,1.6,Intel,Intel
116,119,HP,Notebook,14.0,8,512.0,Windows 10,1.63,1084.0,SSD,1920,1080,Full HD,1.8,Intel,Intel
117,120,Dell,Notebook,15.6,8,256.0,Windows 10,2.16,1130.33,SSD,1920,1080,IPS Panel,1.8,Nvidia,Intel
118,121,Asus,Notebook,17.3,4,1024.0,Windows 10,2.0,564.0,HDD,1920,1080,Full HD,2.0,Nvidia,Intel
119,122,Asus,Notebook,15.6,8,256.0,Windows 10,1.7,1118.0,SSD,1920,1080,Full HD,1.8,Nvidia,Intel
120,123,Acer,Notebook,15.6,6,1024.0,Windows 10,2.1,479.0,HDD,1920,1080,IPS Panel,2.4,Intel,Intel
121,124,MSI,Gaming,15.6,16,256.0,Windows 10,1.8,2241.5,SSD,1920,1080,Full HD,2.8,Nvidia,Intel
122,125,Lenovo,Notebook,15.6,8,256.0,No OS,2.2,629.0,SSD,1920,1080,Full HD,2.5,Nvidia,Intel
123,126,HP,Notebook,17.3,16,512.0,Windows 10,2.5,1271.0,SSD,1920,1080,Full HD,1.8,Nvidia,Intel
124,127,Acer,Notebook,15.6,4,256.0,Windows 10,2.1,451.0,SSD,1366,768,Plain,3.0,AMD,AMD
125,128,HP,Notebook,15.6,4,500.0,No OS,1.86,259.0,HDD,1366,768,Plain,1.6,Intel,Intel
126,129,HP,Notebook,14.0,8,1024.0,Windows 10,1.63,812.0,HDD,1920,1080,Full HD,1.6,Intel,Intel
127,130,Asus,Notebook,14.0,4,64.0,Windows 10 S,1.65,277.99,SSD,1366,768,Plain,1.5,AMD,AMD
128,131,Dell,Notebook,17.3,16,256.0,Windows 10,2.8,1396.0,SSD,1920,1080,Full HD,1.8,AMD,Intel
129,132,HP,Notebook,17.3,8,256.0,Windows 10,2.5,928.0,SSD,1920,1080,Full HD,1.6,Intel,Intel
130,133,Dell,Notebook,15.6,8,1024.0,Windows 10,2.36,638.99,HDD,1366,768,Plain,2.5,AMD,Intel
131,134,Dell,Notebook,15.6,4,1024.0,Windows 10,2.2,449.0,HDD,1920,1080,Full HD,2.0,AMD,Intel
132,135,Acer,Ultrabook,14.0,8,256.0,Windows 10,1.6,884.0,SSD,1920,1080,IPS Panel,1.8,Intel,Intel
133,136,Acer,Notebook,15.6,4,256.0,Windows 10,2.2,572.0,SSD,1920,1080,Full HD,2.7,Nvidia,Intel
134,137,HP,Notebook,15.6,8,1024.0,Windows 10,2.05,598.0,HDD,1366,768,Plain,2.7,Intel,Intel
135,138,HP,Notebook,14.0,8,256.0,Windows 10,1.63,988.0,SSD,1920,1080,Full HD,1.8,Intel,Intel
136,139,Lenovo,Notebook,15.6,4,1024.0,No OS,1.9,252.36,HDD,1366,768,Plain,1.1,Intel,Intel
137,140,Asus,Gaming,17.3,8,128.0,Windows 10,3.0,938.0,SSD,1920,1080,Full HD,2.5,Nvidia,Intel
138,141,Lenovo,Notebook,15.6,4,1024.0,No OS,2.2,499.0,HDD,1920,1080,Full HD,2.5,Nvidia,Intel
139,142,HP,Notebook,13.3,4,256.0,Windows 10,1.32,699.0,SSD,1920,1080,IPS Panel,2.5,Intel,Intel
140,143,Acer,Notebook,17.3,4,1024.0,Windows 10,3.0,655.0,HDD,1920,1080,IPS Panel,2.7,Nvidia,Intel
141,144,Lenovo,Notebook,14.0,8,256.0,Windows 10,1.75,1116.02,SSD,1920,1080,IPS Panel,1.6,AMD,Intel
142,145,Lenovo,Gaming,15.6,8,256.0,No OS,2.4,869.0,SSD,1920,1080,IPS Panel,2.8,Nvidia,Intel
143,146,Toshiba,Notebook,15.6,4,500.0,Windows 10,2.1,602.0,HDD,1366,768,Plain,2.3,Intel,Intel
144,147,HP,Notebook,15.6,4,256.0,Windows 10,1.86,369.0,SSD,1366,768,Plain,2.5,AMD,AMD
145,148,Asus,Ultrabook,14.0,8,256.0,Windows 10,1.25,1099.0,SSD,1920,1080,Full HD,1.8,Intel,Intel
146,149,HP,Ultrabook,12.5,8,512.0,Windows 10,0.97,2014.0,SSD,3840,2160,IPS Panel,1.2,Intel,Intel
147,150,Asus,Notebook,15.6,4,1024.0,Windows 10,2.0,344.0,HDD,1920,1080,Full HD,1.1,Intel,Intel
148,151,MSI,Gaming,17.3,16,256.0,Windows 10,2.9,2029.0,SSD,1920,1080,Full HD,2.8,Nvidia,Intel
149,152,Acer,Notebook,15.6,4,1024.0,Windows 10,2.1,447.0,HDD,1366,768,Plain,2.0,Intel,Intel
150,153,Dell,Gaming,15.6,16,512.0,Windows 10,2.56,1249.26,SSD,1920,1080,Full HD,2.8,Nvidia,Intel
151,154,Dell,Gaming,15.6,8,1024.0,Windows 10,2.62,899.0,Hybrid,1920,1080,Full HD,2.8,Nvidia,Intel
152,155,Lenovo,Notebook,15.6,4,128.0,Windows 10,1.9,498.0,SSD,1366,768,Plain,2.5,Intel,Intel
153,156,MSI,Gaming,17.3,16,256.0,Windows 10,2.8,1890.0,SSD,1920,1080,Full HD,2.8,Nvidia,Intel
154,157,HP,Ultrabook,14.0,4,256.0,Windows 10,1.48,1082.0,SSD,1920,1080,Full HD,2.7,Intel,Intel
155,158,HP,Notebook,15.6,6,256.0,Windows 10,1.91,619.0,SSD,1920,1080,Full HD,1.6,AMD,Intel
156,159,Lenovo,2 in 1 Convertible,14.0,4,256.0,Windows 10,1.74,629.0,SSD,1920,1080,IPS Panel,2.4,Intel,Intel
157,160,Asus,2 in 1 Convertible,13.3,8,256.0,Windows 10,1.1,1315.0,SSD,1920,1080,Full HD,1.6,Intel,Intel
158,161,Dell,2 in 1 Convertible,15.6,8,256.0,Windows 10,1.56,1049.0,SSD,1920,1080,Full HD,1.8,Intel,Intel
159,163,Toshiba,Notebook,15.6,4,500.0,Windows 10,2.1,447.0,HDD,1366,768,Plain,2.2,Intel,Intel
160,164,Asus,Notebook,15.6,4,1024.0,Windows 10,2.03,403.0,HDD,1366,768,Plain,3.0,AMD,AMD
161,165,Acer,Notebook,17.3,4,256.0,Windows 10,3.0,805.0,SSD,1920,1080,IPS Panel,1.6,Nvidia,Intel
162,166,Dell,Notebook,15.6,8,256.0,Windows 10,2.13,728.0,SSD,1920,1080,Full HD,1.6,AMD,Intel
163,167,Lenovo,Gaming,15.6,16,256.0,Windows 10,2.5,1079.0,SSD,1920,1080,IPS Panel,2.8,Nvidia,Intel
164,168,Acer,Notebook,15.6,4,1024.0,Windows 10,2.1,348.0,HDD,1366,768,Plain,1.1,Intel,Intel
165,169,MSI,Gaming,15.6,16,256.0,Windows 10,2.4,1799.0,SSD,1920,1080,IPS Panel,2.8,Nvidia,Intel
166,170,Acer,Notebook,15.6,4,1024.0,Windows 10,2.1,363.51,HDD,1366,768,Plain,1.1,Intel,Intel
167,171,Dell,Gaming,15.6,8,128.0,Windows 10,2.56,1060.49,SSD,1920,1080,Full HD,2.8,Nvidia,Intel
168,172,Acer,Notebook,17.3,8,256.0,Windows 10,3.0,854.0,SSD,1920,1080,IPS Panel,1.6,Nvidia,Intel
169,173,HP,Notebook,13.3,4,500.0,Windows 10,1.49,754.0,HDD,1920,1080,IPS Panel,1.6,Intel,Intel
170,174,Huawei,Ultrabook,13.0,8,256.0,Windows 10,1.05,1349.0,SSD,2160,1440,IPS Panel,2.5,Intel,Intel
171,175,HP,Notebook,17.3,6,2048.0,Windows 10,2.71,699.0,HDD,1920,1080,IPS Panel,2.5,AMD,Intel
172,176,Lenovo,Notebook,15.6,4,500.0,No OS,2.2,309.0,HDD,1366,768,Plain,2.9,AMD,AMD
173,177,Toshiba,Notebook,15.6,4,500.0,Windows 10,2.0,489.0,HDD,1366,768,Plain,2.4,Intel,Intel
174,178,HP,Notebook,17.3,8,256.0,Windows 10,2.5,923.0,SSD,1920,1080,Full HD,1.6,Nvidia,Intel
175,179,Dell,Notebook,15.6,8,1024.0,Windows 10,2.3,459.0,HDD,1366,768,Plain,2.4,Intel,Intel
176,180,Acer,Notebook,15.6,4,128.0,Windows 10,2.1,449.0,SSD,1366,768,Plain,2.0,Intel,Intel
177,181,MSI,Gaming,18.4,32,512.0,Windows 10,4.4,2799.0,SSD,1920,1080,Full HD,2.9,Nvidia,Intel
178,182,Lenovo,Notebook,15.6,8,128.0,Windows 10,1.9,813.0,SSD,1920,1080,Full HD,2.5,AMD,Intel
179,183,HP,2 in 1 Convertible,13.3,8,256.0,Windows 10,1.29,1499.0,SSD,3840,2160,IPS Panel,1.6,Intel,Intel
180,184,Dell,Notebook,15.6,16,256.0,Linux,2.02,1049.0,SSD,1920,1080,Full HD,1.8,AMD,Intel
181,185,Dell,Ultrabook,13.3,8,256.0,Windows 10,1.23,1399.0,SSD,1920,1080,Full HD,1.6,Intel,Intel
182,186,Lenovo,2 in 1 Convertible,13.9,16,512.0,Windows 10,1.4,1849.0,SSD,3840,2160,IPS Panel,1.8,Intel,Intel
183,187,Toshiba,Notebook,15.6,8,128.0,Windows 10,2.0,793.0,SSD,1366,768,Plain,2.5,Intel,Intel
184,188,Xiaomi,Notebook,15.6,8,256.0,No OS,1.95,1199.0,SSD,1920,1080,IPS Panel,1.6,Nvidia,Intel
185,189,Dell,Notebook,17.3,16,512.0,Windows 10,2.77,1549.0,SSD,1920,1080,Full HD,1.8,Nvidia,Intel
186,190,Dell,Notebook,15.6,16,512.0,Windows 10,2.06,2397.0,SSD,3840,2160,4K Ultra,2.8,Nvidia,Intel
187,191,Lenovo,Gaming,15.6,8,256.0,No OS,2.4,779.0,SSD,1920,1080,IPS Panel,2.5,Nvidia,Intel
188,192,Acer,Ultrabook,13.3,8,256.0,Windows 10,1.12,989.0,SSD,1920,1080,IPS Panel,1.2,Intel,Intel
189,193,Dell,Notebook,17.3,8,128.0,Windows 10,2.8,1085.0,SSD,1920,1080,Full HD,1.8,AMD,Intel
190,194,Lenovo,2 in 1 Convertible,14.0,16,1024.0,Windows 10,1.42,2824.0,SSD,2560,1440,Touchscreen,2.7,Intel,Intel
191,195,Vero,Notebook,14.0,4,32.0,Windows 10,1.3,260.0,Flash,1920,1080,IPS Panel,1.1,Intel,Intel
192,196,Xiaomi,Ultrabook,13.3,8,256.0,No OS,1.3,999.9,SSD,1920,1080,IPS Panel,2.5,Nvidia,Intel
193,197,Lenovo,Notebook,17.3,8,256.0,No OS,2.8,698.0,SSD,1600,900,Plain,1.6,Nvidia,Intel
194,198,Dell,2 in 1 Convertible,13.3,8,1024.0,Windows 10,1.62,839.0,HDD,1920,1080,IPS Panel,1.8,Intel,Intel
195,199,HP,Notebook,17.3,8,1024.0,Windows 10,2.5,914.0,HDD,1920,1080,IPS Panel,1.6,Nvidia,Intel
196,200,Razer,Gaming,17.3,32,1024.0,Windows 10,3.49,6099.0,SSD,3840,2160,4K Ultra,2.9,Nvidia,Intel
197,201,HP,Notebook,13.3,8,512.0,Windows 10,1.49,959.0,SSD,1920,1080,Full HD,1.6,Intel,Intel
198,202,HP,Gaming,17.3,16,256.0,Windows 10,3.35,1379.0,SSD,1920,1080,IPS Panel,2.8,Nvidia,Intel
199,203,HP,Notebook,17.3,8,256.0,Windows 10,2.5,1045.0,SSD,1920,1080,Full HD,1.8,Nvidia,Intel
200,204,Dell,Gaming,15.6,16,512.0,Windows 10,2.65,1845.0,SSD,3840,2160,IPS Panel,2.8,Nvidia,Intel
201,205,Lenovo,Notebook,15.6,4,128.0,Windows 10,2.1,493.0,SSD,1366,768,Plain,2.3,Intel,Intel
202,206,Acer,Notebook,15.6,8,1024.0,Windows 10,2.23,742.0,HDD,1920,1080,Full HD,2.7,Nvidia,Intel
203,207,Lenovo,Gaming,15.6,16,512.0,Windows 10,3.2,1749.0,SSD,1920,1080,IPS Panel,2.8,Nvidia,Intel
204,208,Dell,Workstation,15.6,16,256.0,Windows 10,2.8,3055.0,SSD,3840,2160,4K Ultra,3.0,Nvidia,Intel
205,209,Lenovo,Gaming,15.6,16,512.0,No OS,2.4,1398.0,SSD,1920,1080,Full HD,2.8,Nvidia,Intel
206,210,Dell,Notebook,15.6,6,1024.0,Windows 10,2.3,439.0,HDD,1366,768,Touchscreen,2.4,Intel,Intel
207,211,Dell,Ultrabook,13.3,8,256.0,Windows 10,1.21,1949.0,SSD,3840,2160,IPS Panel,1.8,Intel,Intel
208,212,Dell,Ultrabook,13.3,8,256.0,Windows 10,1.2,1449.0,SSD,1920,1080,Full HD,1.8,Intel,Intel
